ticket_id,created_at,customer_id,customer_city,channel,priority,issue_type,assigned_agent,status,first_response_mins,resolution_hours,csat_score,reopened_flag,resolved_at,sla_target_hours,sla_met_flag,Month Name,Day of Week
70800,2024-11-19 23:51:00,2290,Tanta,Portal,High,Billing,Ali,Open,652.0,,4.0,0,,24,,November,Tuesday
70459,2025-02-26 17:35:00,2433,Suez,Portal,Low,Refund,Omar,Resolved,388.0,28.0,4.0,0,2025-02-27 21:35:00,72,1.0,February,Wednesday
70161,2024-11-07 18:12:00,2417,Suez,Email,Critical,Refund,Heba,Open,613.0,,5.0,0,,8,,November,Thursday
70724,2024-11-20 07:54:00,2596,Mansoura,Email,Medium,Complaint,Heba,Pending,686.0,112.0,4.0,1,,48,,November,Wednesday
70792,2024-09-22 17:58:00,2508,Giza,Phone,Low,Account,Nada,Resolved,320.0,35.0,4.0,0,2024-09-24 04:58:00,72,1.0,September,Sunday
70611,2024-11-10 05:53:00,2295,Zagazig,Email,Medium,Refund,Farah,Resolved,228.0,51.0,1.0,0,2024-11-12 08:53:00,48,0.0,November,Sunday
70869,2025-01-02 16:03:00,2177,Suez,Email,Medium,Refund,Mina,Resolved,468.0,19.0,1.0,0,2025-01-03 11:03:00,48,1.0,January,Thursday
71284,2024-11-10 22:16:00,2306,Tanta,Portal,Medium,Delivery,Mina,Resolved,480.0,12.0,4.0,0,2024-11-11 10:16:00,48,1.0,November,Sunday
70925,2024-12-07 02:06:00,2527,Zagazig,Phone,Low,Account,Youssef,Pending,274.0,73.0,3.0,0,,72,,December,Saturday
71093,2024-10-28 20:43:00,2211,Suez,Email,High,Delivery,Farah,Resolved,307.0,29.0,4.0,0,2024-10-30 01:43:00,24,0.0,October,Monday
70793,2024-09-15 12:13:00,2031,Alexandria,Phone,Medium,Refund,Mina,Resolved,437.0,68.0,4.0,0,2024-09-18 08:13:00,48,0.0,September,Sunday
70075,2024-11-07 07:41:00,2188,Giza,Email,High,Complaint,Mina,Resolved,415.0,120.0,5.0,0,2024-11-12 07:41:00,24,0.0,November,Thursday
