ticket_id,created_at,customer_id,customer_city,channel,priority,issue_type,assigned_agent,status,first_response_mins,resolution_hours,csat_score,reopened_flag,resolved_at,sla_target_hours,sla_met_flag
70800,2024-11-19 23:51:00,2290,  Tanta ,Portal,  High ,Billing,ALI,  Open ,652.0,,,0,,24.0,
70459,2025-02-26 17:35:00,2433,Suez,  Portal ,low,  REFUND ,Omar,  resolved ,388.0,28.0,4.0,0,2025-02-27 21:35:00,72.0,1.0
70161,2024-11-07 18:12:00,2417,SUEZ,Email,Critical,refund,Heba,OPEN,613.0,,5.0,0,,8.0,
70724,2024-11-20 07:54:00,2596,Mansoura,Email,Medium,Complaint,Heba,  Pending ,686.0,112.0,4.0,1,,48.0,0.0
70792,2024-09-22 17:58:00,2508,Giza,Phone,  Low ,Account,NADA,Resolved,320.0,35.0,,0,2024-09-24 04:58:00,72.0,1.0
70611,2024-11-10 05:53:00,2295,ZAGAZIG,Email,Medium,REFUND,Farah,Resolved,228.0,51.0,1.0,0,2024-11-12 08:53:00,48.0,0.0
70869,2025-01-02 16:03:00,2177,Suez,Email,Medium,Refund,Mina,Resolved,468.0,19.0,1.0,0,2025-01-03 11:03:00,48.0,1.0
71284,2024-11-10 22:16:00,2306,tanta,Portal,Medium,delivery,mina,  RESOLVED ,480.0,12.0,,0,2024-11-11 10:16:00,48.0,1.0
70925,2024-12-07 02:06:00,2527,zagazig,Phone,Low,account,  YOUSSEF ,Pending,274.0,73.0,3.0,0,,72.0,0.0
71093,2024-10-28 20:43:00,2211,  Suez ,EMAIL,High,Delivery,farah,Resolved,307.0,29.0,4.0,0,2024-10-30 01:43:00,24.0,0.0
70793,2024-09-15 12:13:00,2031,  ALEXANDRIA ,phone,medium,Refund,Mina,Resolved,437.0,68.0,4.0,0,2024-09-18 08:13:00,48.0,0.0
70075,2024-11-07 07:41:00,2188,  Giza ,Email,High,  COMPLAINT ,mina,Resolved,415.0,120.0,5.0,0,2024-11-12 07:41:00,24.0,0.0
70314,2025-02-10 05:42:00,2129,ZAGAZIG,CHAT,  Low ,  TECHNICAL ,Youssef,Pending,37.0,157.0,2.0,0,,72.0,0.0
70678,2024-11-29 04:23:00,2059,  Suez ,Chat,Low,Complaint,Sara,resolved,451.0,95.0,5.0,0,2024-12-03 03:23:00,72.0,0.0
71443,2024-11-18 15:20:00,2130,ismailia,PORTAL,Medium,Delivery,Youssef,CLOSED,85.0,64.0,4.0,0,2024-11-21 07:20:00,48.0,0.0
71526,2025-02-13 09:03:00,2293,giza,Chat,Critical,Account,Heba,Resolved,374.0,107.0,,0,2025-02-17 20:03:00,8.0,0.0
70829,2025-01-22 14:39:00,2585,Cairo,Chat,LOW,Billing,Omar,open,232.0,40.0,,0,,72.0,0.0
70696,2025-02-18 12:34:00,2033,Mansoura,PHONE,Critical,  Technical ,  Mina ,Closed,353.0,102.0,5.0,0,2025-02-22 18:34:00,8.0,0.0
70832,2025-02-20 13:48:00,2478,Tanta,  Phone ,Medium,Account,sara,resolved,607.0,120.0,5.0,0,2025-02-25 13:48:00,48.0,0.0
71457,2025-01-15 12:09:00,2275,,  Chat ,Medium,  Account ,Ali,  Resolved ,373.0,71.0,3.0,0,2025-01-18 11:09:00,48.0,0.0
70375,2025-02-02 06:55:00,2500,suez,Phone,LOW,BILLING,FARAH,Open,128.0,158.0,4.0,0,,72.0,0.0
70511,2024-12-16 20:32:00,2139,,  CHAT ,High,Refund,NADA,PENDING,385.0,,4.0,0,,24.0,
71005,2024-10-10 01:47:00,2205,Mansoura,  Portal ,  Critical ,Account,Omar,Resolved,129.0,105.0,4.0,0,2024-10-14 10:47:00,8.0,0.0
71144,2024-09-29 19:08:00,2565,alexandria,Chat,  High ,Billing,OMAR,Resolved,174.0,129.0,2.0,0,2024-10-05 04:08:00,24.0,0.0
70318,2025-02-10 09:20:00,2186,Ismailia,Portal,High,Account,Omar,open,12.0,114.0,5.0,0,,24.0,0.0
70938,2024-12-29 14:33:00,2569,,CHAT,Critical,Account,Heba,Closed,625.0,113.0,4.0,0,2025-01-03 07:33:00,8.0,0.0
71405,2024-10-21 00:42:00,2554,Ismailia,Portal,High,Complaint,Youssef,Resolved,167.0,57.0,1.0,0,2024-10-23 09:42:00,24.0,0.0
70630,2025-01-28 23:35:00,2581,Ismailia,EMAIL,Low,technical,Omar,Resolved,719.0,34.0,5.0,0,2025-01-30 09:35:00,72.0,1.0
